Attribute,Index,Clean Value,Cleaned Value
workclass,15789,private,self-emp-not-inc
workclass,37454,private,self-emp-not-inc
workclass,19911,private,self-emp-not-inc
workclass,6378,federal-gov,private
workclass,17237,private,self-emp-not-inc
workclass,4491,private,self-emp-not-inc
workclass,24609,private,self-emp-not-inc
workclass,3979,private,self-emp-not-inc
workclass,37180,private,self-emp-not-inc
workclass,18553,private,self-emp-not-inc
workclass,9939,self-emp-not-inc,without-pay
workclass,32424,private,self-emp-not-inc
workclass,10787,private,self-emp-not-inc
workclass,23084,private,self-emp-not-inc
workclass,32095,private,self-emp-not-inc
workclass,35675,self-emp-not-inc,without-pay
workclass,20183,self-emp-not-inc,without-pay
workclass,19537,self-emp-not-inc,without-pay
workclass,7114,local-gov,self-emp-inc
workclass,9810,private,self-emp-not-inc
workclass,21277,self-emp-inc,state-gov
workclass,23161,local-gov,self-emp-inc
workclass,24654,private,self-emp-not-inc
workclass,33569,private,self-emp-not-inc
workclass,11217,private,self-emp-not-inc
workclass,30531,private,self-emp-not-inc
workclass,30903,private,self-emp-not-inc
workclass,38719,private,self-emp-not-inc
workclass,23589,private,self-emp-not-inc
workclass,19348,private,self-emp-not-inc
workclass,27144,private,self-emp-not-inc
workclass,30261,private,self-emp-not-inc
workclass,35847,private,self-emp-not-inc
workclass,22285,federal-gov,private
workclass,2121,private,self-emp-not-inc
workclass,32359,private,self-emp-not-inc
workclass,31492,private,self-emp-not-inc
workclass,4025,self-emp-not-inc,without-pay
workclass,37799,private,self-emp-not-inc
workclass,12763,private,self-emp-not-inc
workclass,45017,private,self-emp-not-inc
workclass,13917,self-emp-not-inc,without-pay
workclass,34991,private,self-emp-not-inc
workclass,6287,private,self-emp-not-inc
workclass,31889,private,self-emp-not-inc
workclass,37133,state-gov,without-pay
workclass,39681,private,self-emp-not-inc
workclass,32367,local-gov,self-emp-inc
workclass,4872,private,self-emp-not-inc
workclass,17432,private,self-emp-not-inc
workclass,34608,private,self-emp-not-inc
workclass,17848,private,self-emp-not-inc
workclass,40017,private,self-emp-not-inc
workclass,7691,private,self-emp-not-inc
workclass,27211,local-gov,self-emp-inc
workclass,13595,self-emp-inc,state-gov
workclass,38998,self-emp-not-inc,without-pay
workclass,44529,self-emp-not-inc,without-pay
workclass,42580,private,self-emp-not-inc
workclass,2174,private,self-emp-not-inc
workclass,41595,private,self-emp-not-inc
workclass,18353,private,self-emp-not-inc
workclass,6258,private,self-emp-not-inc
workclass,10071,private,self-emp-not-inc
